,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month,year
0,spring,no,Sat,no,cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,1,1,2011
1,spring,no,Sun,no,cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,2,1,2011
2,spring,no,Mon,no,clear sky,0.196364,0.189405,0.437273,0.248309,120,1229,1349,3,1,2011
3,spring,no,Tue,no,clear sky,0.2,0.212122,0.590435,0.160296,108,1454,1562,4,1,2011
4,spring,no,Wed,no,clear sky,0.226957,0.22927,0.436957,0.1869,82,1518,1600,5,1,2011
5,spring,no,Thu,no,clear sky,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,6,1,2011
6,spring,no,Fri,no,cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,7,1,2011
7,spring,no,Sat,no,cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,8,1,2011
8,spring,no,Sun,no,clear sky,0.138333,0.116175,0.434167,0.36195,54,768,822,9,1,2011
9,spring,no,Mon,no,clear sky,0.150833,0.150888,0.482917,0.223267,41,1280,1321,10,1,2011
10,spring,no,Tue,no,cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,11,1,2011
11,spring,no,Wed,no,clear sky,0.172727,0.160473,0.599545,0.304627,25,1137,1162,12,1,2011
12,spring,no,Thu,no,clear sky,0.165,0.150883,0.470417,0.301,38,1368,1406,13,1,2011
13,spring,no,Fri,no,clear sky,0.16087,0.188413,0.537826,0.126548,54,1367,1421,14,1,2011
14,spring,no,Sat,no,cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,15,1,2011
15,spring,no,Sun,no,clear sky,0.231667,0.234217,0.48375,0.188433,251,953,1204,16,1,2011
16,spring,yes,Mon,no,cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,17,1,2011
17,spring,no,Tue,no,cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,18,1,2011
18,spring,no,Wed,no,cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,19,1,2011
19,spring,no,Thu,no,cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,20,1,2011
20,spring,no,Fri,no,clear sky,0.1775,0.157833,0.457083,0.353242,75,1468,1543,21,1,2011
21,spring,no,Sat,no,clear sky,0.0591304,0.0790696,0.4,0.17197,93,888,981,22,1,2011
22,spring,no,Sun,no,clear sky,0.0965217,0.0988391,0.436522,0.2466,150,836,986,23,1,2011
23,spring,no,Mon,no,clear sky,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,24,1,2011
24,spring,no,Tue,no,cloudy,0.223478,0.234526,,0.129796,186,1799,1985,25,1,2011
25,spring,no,Wed,no,light rain,0.2175,0.2036,0.8625,0.29385,34,472,506,26,1,2011
26,spring,no,Thu,no,clear sky,0.195,0.2197,0.6875,0.113837,15,416,431,27,1,2011
27,spring,no,Fri,no,cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,28,1,2011
28,spring,no,Sat,no,clear sky,0.196522,0.212126,0.651739,0.145365,123,975,1098,29,1,2011
29,spring,no,Sun,no,clear sky,0.216522,0.250322,0.722174,0.0739826,140,956,1096,30,1,2011
30,spring,no,Mon,no,cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,31,1,2011
31,spring,no,Tue,no,cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1,2,2011
32,spring,no,Wed,no,cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,2,2,2011
33,spring,no,Thu,no,clear sky,0.186957,0.177878,0.437826,0.277752,61,1489,1550,3,2,2011
34,spring,no,Fri,no,cloudy,0.211304,0.228587,,0.127839,88,1620,1708,4,2,2011
35,spring,no,Sat,no,cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,5,2,2011
36,spring,no,Sun,no,clear sky,0.285833,0.291671,0.568333,0.1418,354,1269,1623,6,2,2011
37,spring,no,Mon,no,clear sky,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,7,2,2011
38,spring,no,Tue,no,clear sky,0.220833,0.198246,0.537917,0.36195,64,1466,1530,8,2,2011
39,spring,no,Wed,no,cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,9,2,2011
40,spring,no,Thu,no,clear sky,0.144348,0.149548,0.437391,0.221935,47,1491,1538,10,2,2011
41,spring,no,Fri,no,clear sky,0.189091,0.213509,0.506364,0.10855,149,1597,1746,11,2,2011
42,spring,no,Sat,no,clear sky,0.2225,0.232954,0.544167,0.203367,288,1184,1472,12,2,2011
43,spring,no,Sun,no,clear sky,0.316522,0.324113,,0.260883,397,1192,1589,13,2,2011
44,spring,no,Mon,no,clear sky,0.415,0.39835,0.375833,0.417908,208,1705,1913,14,2,2011
45,spring,no,Tue,no,clear sky,0.266087,0.254274,0.314348,0.291374,140,1675,1815,15,2,2011
