,profile_pic,rel_num_numeric_char_username,words_fullname,rel_num_numeric_char_fullname,name=username,description_length,has_external_url,is_private,num_posts,num_followers,num_follows,is_fake
0,yes,0.27,0,0.0,no,53,no,no,32,1000,955,no
1,yes,0.0,2,0.0,no,44,no,no,286,2740,533,no
2,yes,0.1,2,0.0,no,0,no,yes,13,159,98,no
3,yes,0.0,1,0.0,no,82,no,no,679,414,651,no
4,yes,0.0,2,0.0,no,0,no,yes,6,151,126,no
5,yes,0.0,4,0.0,no,81,yes,no,344,669987,150,no
6,yes,0.0,2,0.0,no,50,no,no,16,122,177,no
7,yes,0.0,2,0.0,no,0,no,no,33,1078,76,no
8,yes,0.0,0,0.0,no,71,no,no,72,1824,2713,no
9,yes,0.0,2,0.0,no,40,yes,no,213,12945,813,no
10,yes,0.0,2,0.0,no,54,no,no,648,9884,1173,no
11,yes,0.0,2,0.0,no,54,yes,no,76,1188,365,no
12,yes,0.0,2,0.0,no,0,yes,no,298,945,583,no
13,yes,0.0,2,0.0,no,103,yes,no,117,12033,248,no
14,yes,0.0,2,0.0,no,98,yes,no,487,1962,2701,no
15,yes,0.0,3,0.0,no,46,no,no,254,50374,900,no
16,yes,0.0,3,0.0,no,0,no,no,59,7007,289,no
17,yes,0.29,3,0.0,no,48,no,no,1570,,694,no
18,yes,0.0,2,0.0,no,63,yes,no,378,34670,1878,no
19,yes,0.0,2,0.0,no,106,yes,no,526,2338,776,no
20,yes,0.0,2,0.0,no,40,no,no,228,3516,999,no
21,yes,0.0,1,0.0,no,35,yes,yes,35,1809,416,no
22,yes,0.0,2,0.0,no,30,no,no,281,427,470,no
23,yes,0.0,1,0.0,no,27,no,no,285,759,956,no
24,yes,0.0,0,0.0,no,0,no,no,148,15338538,61,no
25,yes,0.0,1,0.0,no,109,yes,yes,57,109,179,no
26,yes,0.0,6,0.0,no,0,no,yes,17,536,665,no
27,yes,0.0,2,0.0,no,132,yes,no,511,121354,176,no
28,yes,0.0,2,0.0,no,126,yes,no,230,2284,130,no
29,yes,0.0,2,0.0,no,122,no,yes,15,,174,no
30,yes,0.0,2,0.0,no,138,no,yes,980,687,1517,no
31,yes,0.13,0,0.0,no,0,no,yes,53,966,952,no
32,yes,0.0,2,0.0,no,50,no,yes,111,177,170,no
33,yes,0.0,2,0.0,no,35,no,no,719,744,967,no
34,yes,0.0,2,0.0,no,56,yes,no,1164,542073,674,no
35,yes,0.18,2,0.0,no,9,no,no,497,5315651,2703,no
36,yes,0.33,0,0.0,no,0,no,yes,18,267,328,no
